[2024-11-18 20:25:10] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-11-18 20:25:11] [class-ss-setup-task.php:130] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/3-169x300.gif to queue as: http://matrimony.local/wp-content/uploads/2024/10/3-169x300.gif
[2024-11-18 20:25:11] [class-ss-setup-task.php:130] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/The-Path-of-the-Wind-from-My-Neighbor-Totoro_-mp3-image-300x300.jpg to queue as: http://matrimony.local/wp-content/uploads/2024/10/The-Path-of-the-Wind-from-My-Neighbor-Totoro_-mp3-image-300x300.jpg
[2024-11-18 20:25:11] [class-ss-setup-task.php:130] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_0758Artboard-1-1-1024x1536.webp to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_0758Artboard-1-1-1024x1536.webp
[2024-11-18 20:25:11] [class-ss-setup-task.php:130] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/1-576x1024.gif to queue as: http://matrimony.local/wp-content/uploads/2024/10/1-576x1024.gif
[2024-11-18 20:25:11] [class-ss-setup-task.php:130] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_6197_VSCO-150x150.png to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_6197_VSCO-150x150.png
[2024-11-18 20:25:11] [class-ss-setup-task.php:130] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_0758Artboard-1-200x300.jpg to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_0758Artboard-1-200x300.jpg
[2024-11-18 20:25:11] [class-ss-setup-task.php:130] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_8191-1536x1024.webp to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_8191-1536x1024.webp
[2024-11-18 20:25:11] [class-ss-setup-task.php:130] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_8191-scaled.webp to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_8191-scaled.webp
[2024-11-18 20:25:11] [class-ss-setup-task.php:130] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/copy_B8F35E3F-7C53-408C-9CA7-85FCB3070B1B.gif to queue as: http://matrimony.local/wp-content/uploads/2024/10/copy_B8F35E3F-7C53-408C-9CA7-85FCB3070B1B.gif
[2024-11-18 20:25:11] [class-ss-setup-task.php:130] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Divider.svg to queue as: http://matrimony.local/wp-content/uploads/2024/10/Divider.svg
[2024-11-18 20:25:11] [class-ss-setup-task.php:130] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_0758Artboard-2-1024x576.webp to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_0758Artboard-2-1024x576.webp
[2024-11-18 20:25:11] [class-ss-setup-task.php:130] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Iki-150x150.png to queue as: http://matrimony.local/wp-content/uploads/2024/10/Iki-150x150.png
[2024-11-18 20:25:11] [class-ss-setup-task.php:130] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Iki-194x300.png to queue as: http://matrimony.local/wp-content/uploads/2024/10/Iki-194x300.png
[2024-11-18 20:25:11] [class-ss-setup-task.php:130] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Iki-150x150.webp to queue as: http://matrimony.local/wp-content/uploads/2024/10/Iki-150x150.webp
[2024-11-18 20:25:11] [class-ss-setup-task.php:130] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Scroll-2-768x735.png to queue as: http://matrimony.local/wp-content/uploads/2024/10/Scroll-2-768x735.png
[2024-11-18 20:25:11] [class-ss-setup-task.php:130] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_6285_VSCO-scaled.webp to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_6285_VSCO-scaled.webp
[2024-11-18 20:25:11] [class-ss-setup-task.php:130] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Ornaments-150x150.png to queue as: http://matrimony.local/wp-content/uploads/2024/10/Ornaments-150x150.png
[2024-11-18 20:25:11] [class-ss-setup-task.php:130] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_0758Artboard-1-683x1024.jpg to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_0758Artboard-1-683x1024.jpg
[2024-11-18 20:25:11] [class-ss-setup-task.php:130] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_8191-768x512.webp to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_8191-768x512.webp
[2024-11-18 20:25:11] [class-ss-setup-task.php:130] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/3-150x150.gif to queue as: http://matrimony.local/wp-content/uploads/2024/10/3-150x150.gif
[2024-11-18 20:25:11] [class-ss-setup-task.php:130] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_6285_VSCO-768x512.webp to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_6285_VSCO-768x512.webp
[2024-11-18 20:25:11] [class-ss-setup-task.php:130] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/copy_B8F35E3F-7C53-408C-9CA7-85FCB3070B1B-150x150.gif to queue as: http://matrimony.local/wp-content/uploads/2024/10/copy_B8F35E3F-7C53-408C-9CA7-85FCB3070B1B-150x150.gif
[2024-11-18 20:25:11] [class-ss-setup-task.php:130] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Scroll-2-300x287.webp to queue as: http://matrimony.local/wp-content/uploads/2024/10/Scroll-2-300x287.webp
[2024-11-18 20:25:11] [class-ss-setup-task.php:130] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Dari-Mana-Datangnya-Asmara-mp3-image-150x150.jpg to queue as: http://matrimony.local/wp-content/uploads/2024/10/Dari-Mana-Datangnya-Asmara-mp3-image-150x150.jpg
[2024-11-18 20:25:11] [class-ss-setup-task.php:130] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_8191-scaled.jpg to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_8191-scaled.jpg
[2024-11-18 20:25:11] [class-ss-setup-task.php:130] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Paper-e1728843062866-768x1365.webp to queue as: http://matrimony.local/wp-content/uploads/2024/10/Paper-e1728843062866-768x1365.webp
[2024-11-18 20:25:11] [class-ss-setup-task.php:130] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_8206-scaled.webp to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_8206-scaled.webp
[2024-11-18 20:25:11] [class-ss-setup-task.php:130] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Icha-194x300.png to queue as: http://matrimony.local/wp-content/uploads/2024/10/Icha-194x300.png
[2024-11-18 20:25:11] [class-ss-setup-task.php:130] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/deichaetiki-gif-1-150x150.gif to queue as: http://matrimony.local/wp-content/uploads/2024/10/deichaetiki-gif-1-150x150.gif
[2024-11-18 20:25:11] [class-ss-setup-task.php:130] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Icha-150x150.png to queue as: http://matrimony.local/wp-content/uploads/2024/10/Icha-150x150.png
